Lines: 006637
User Defined	Macro	COMPARADOR	
User Defined	Macro	OpLog	
User Defined	Macro	compare	
User Defined	Macro	Counter	
User Defined	Macro	Timer	
User Defined	Macro	ResistorWire	
User Defined	Macro	Macro 2	
User Defined	Macro	Macro	
User Defined	Macro	Lock	
User Defined	Macro	Delay	
User Defined	Macro	DB-9 Macro	
Data Converters	D/A	DAC8	DAC8	*8-Bit generic D/A converter - type:digital pkg:DIP14 [DVCC=14;DGND=13;] (1,2,3,4,5,6,7,9,10,11)
Data Converters	A/D	ADC8	ADC8	*8-Bit generic A/D converter - type:digital pkg:DIP16 [DVCC=16;DGND=8;] (1,2,3,4,5,6,7,9,10,11,12,13,14,15)
Data Converters	A/D	ADC0800	ADC0800	*National 8-bit A/D converter - pkg:DIP18 (1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18)
SPICE Controls	Variable Access	Plot Var	
SPICE Controls	Initial Condition	.IC	
SPICE Controls	Node Set	.NODESET	
Power Supplies	Digital	Ground	
Power Supplies	Digital	Battery	
Power Supplies	Digital	V Source	
Power Supplies	Digital	+V	
Power Supplies	Linear	I Source	
Power Supplies	NonLinear	NLV Source	
Power Supplies	NonLinear	NLI Source	
Power Supplies	Controlled	V->V Source	
Power Supplies	Controlled	V->I Source	
Power Supplies	Controlled	I->V Source	
Power Supplies	Controlled	I->I Source	
Power Supplies	Controlled	F->V Source	FTOV	*Generic frequency to voltage converter
Power Supplies	Controlled	F->V Source	FCVS	p1kHz/V frequency to voltage converter - alias:XFTOV {VIL=0.1 VIH=0.2}
Sources	Controlled	VCO	SINEVCO	*Voltage controlled sine wave oscillator - alias:ASINEVCO
Sources	Controlled	VCO	TRIVCO	*Voltage controlled triangle wave oscillator - alias:ATRIVCO
Sources	Controlled	VCO	SQRVCO	*Voltage controlled square wave oscillator - alias:ASQRVCO
Analog	SPICE Controls	Analysis Probe	
Analog	Power	Logic Switch	
Analog	Instruments	Signal Gen	
Analog	Instruments	Multimeter	
Analog	Instruments	Data Seq	DIGSRC	*Data sequencer - type:source
Digital	Instruments	Pulser	
Instruments	Digital	SCOPE	
Motors	DC	Stepper	
Motors	DC	DC Motor	
Optical devices	Sensors	Photo Resist	
Optical devices	Sensors	Photo NPN	
Optical devices	Sensors	Photo Diode	
Optical devices	Coupler	Opto Isolator	OPTOISO	*NPN Optoisolator pkg:DIP6 1,2,5,4
Optical devices	Coupler	Opto Isolator	OP4N25	*NPN Optoisolator pkg:DIP6 1,2,5,4
Displays	Incandescent	Lamp	
Displays	Diode	LED	LED0	p Typ INFRARED GaAs LED: Vf=1.2V Vr=5V If=40mA trr=3uS
Displays	Diode	LED	LED1	p Typ RED GaAs LED: Vf=1.7V Vr=4V If=40mA trr=3uS
Displays	Diode	LED	LED2	p Typ RED,GREEN,YELLOW,AMBER GaAs LED: Vf=2.1V Vr=4V If=40mA trr=3uS
Displays	Diode	LED	LED3	p Typ BLUE SiC LED: Vf=3.4V Vr=5V If=40mA trr=3uS
Displays	7-Segment LED	CA 7-Seg	REDCA	*RED common-anode 7-seg display
Displays	7-Segment LED	CA 7-Seg	GREENCA	*GREEN common-anode 7-seg display
Displays	7-Segment LED	CA 7-Seg	YELLOWCA	*YELLOW common-anode 7-seg display
Displays	7-Segment LED	CA 7-Seg	AMBERCA	*AMBER common-anode 7-seg display
Displays	7-Segment LED	CA 7-Seg	BLUECA	*BLUE common-anode 7-seg display
Displays	7-Segment LED	CC 7-Seg	REDCC	*RED xx mon-anode 7-seg display
Displays	7-Segment LED	CC 7-Seg	GREENCC	*GREEN common-anode 7-seg display
